ra dec
201.365 -43.019
186.55 12.95
184.741 47.303
202.468 47.198
148.963 69.679
67.704 64.848
192.146 -5.789
11.888 -25.288
157.183 68.469
35.639 42.349
49.328 -41.106
190.53 32.542
192.721 41.12
196.365 -49.468
17.362000000000002 35.718
172.005 78.993
267.365 70.145
186.454 33.547
210.794 54.36
184.375 37.809
181.763 43.065
187.63 41.65
189.995 -11.624
161.958 12.582
114.216 65.6
167.88 55.674
188.967 27.934
183.911 36.328
187.05 44.095
204.983 -31.64
170.06799999999998 13.589
151.308 -7.718999999999999
24.174 15.783
129.063 -26.409
150.838 68.734
180.79 44.531000000000006
198.955 42.029
339.267 34.416
3.785 -39.22
296.23400000000004 -14.800999999999998
161.924 13.983
200.487 -36.63
49.633 -66.51899999999999
192.611 25.502
76.926 -37.513000000000005
188.513 7.7
73.557 -53.361
202.413 58.417
55.044 -35.626999999999995
189.086 25.988000000000003
5.121 59.281000000000006
359.457 -32.592
187.454 13.429
139.829 69.203
3.517 -23.182
40.1 39.063
23.778 -41.437
39.148 59.655
16.226 2.133
189.208 13.163
160.99200000000002 11.704
148.888 69.065
140.511 50.976000000000006
185.728 15.822
179.484 55.45399999999999
179.855 50.962
324.119 -54.557
40.48 59.604
169.56900000000002 -32.814
141.548 -76.626
125.983 71.029
151.377 70.36399999999999
196.604 67.707
128.53 66.182
145.135 71.182
149.38299999999998 69.046
184.174 69.469
194.18400000000003 21.685
211.257 53.662
2.485 -24.963
170.062 12.989
190.47 41.274
33.515 27.877
154.97799999999998 45.55
166.454 -0.036
277.159 -66.982
210.838 -41.379
143.042 21.501
0.779 16.105999999999998
133.172 33.419000000000004
162.071 12.63
345.25 30.145
13.713 -37.65
194.748 34.907
183.193 10.866
204.253 -29.866
181.385 50.545
152.753 -4.6930000000000005
186.71 9.584
177.511 15.023
25.757 13.64
139.47 -22.355
287.442 -63.858
204.383 8.885
160.88 24.922
188.875 12.222
188.908 12.264
54.843 -35.645
187.416 7.925
64.373 -62.784
226.622 55.764
41.735 -0.551
184.707 14.417
187.19 44.864
188.613 2.188
185.427 14.598
76.31 -37.981
56.702 68.096
158.702 21.662
161.691 11.82
